attributes,id,links,meta,type,relationships,category,label
"{'label': 'OTC0024', 'name': '0978TBK- camion 10t -Isuzu', 'description': 'EX 14300 WWT', 'trackable_serial_id': 11387, 'custom_label': None, 'license_plate': '0978TBK'}",296891fa-67f9-4873-a6b5-eaf50c50c8c4,{'self': 'http://api.tag-ip.com/track/v3/trackables/296891fa-67f9-4873-a6b5-eaf50c50c8c4'},{},trackables,"{'status': {'links': {'related': 'http://api.tag-ip.com/track/v3/trackables/296891fa-67f9-4873-a6b5-eaf50c50c8c4/status'}, 'meta': {}}, 'fleets': {'links': {'related': 'http://api.tag-ip.com/track/v3/trackables/296891fa-67f9-4873-a6b5-eaf50c50c8c4/fleets'}, 'meta': {}}, 'organizations': {'links': {'related': 'http://api.tag-ip.com/track/v3/trackables/296891fa-67f9-4873-a6b5-eaf50c50c8c4/organizations'}, 'meta': {}}}",LIVRAISON,PUB.OTC.LIVRAISON
"{'label': 'OTC0129', 'name': 'Nissan patrol blanc / chassis : 9039403', 'description': 'Nissan patrol blanc / chassis : 9039403', 'trackable_serial_id': 11492, 'custom_label': None, 'license_plate': '9039403'}",2a4393ac-7980-4680-9c84-056612d0d266,{'self': 'http://api.tag-ip.com/track/v3/trackables/2a4393ac-7980-4680-9c84-056612d0d266'},{},trackables,"{'status': {'links': {'related': 'http://api.tag-ip.com/track/v3/trackables/2a4393ac-7980-4680-9c84-056612d0d266/status'}, 'meta': {}}, 'fleets': {'links': {'related': 'http://api.tag-ip.com/track/v3/trackables/2a4393ac-7980-4680-9c84-056612d0d266/fleets'}, 'meta': {}}, 'organizations': {'links': {'related': 'http://api.tag-ip.com/track/v3/trackables/2a4393ac-7980-4680-9c84-056612d0d266/organizations'}, 'meta': {}}}",LIVRAISON,PUB.OTC.LIVRAISON
"{'label': 'OTC0132', 'name': 'KEYTON ELECTRIQUE -25374WWT', 'description': 'OCEAN TRADE -KEYTON ELECTRIQUE -25374WWT - OTC', 'trackable_serial_id': 11495, 'custom_label': None, 'license_plate': '25374WWT'}",3341422d-4b41-453e-aa75-f3002842aa40,{'self': 'http://api.tag-ip.com/track/v3/trackables/3341422d-4b41-453e-aa75-f3002842aa40'},{},trackables,"{'status': {'links': {'related': 'http://api.tag-ip.com/track/v3/trackables/3341422d-4b41-453e-aa75-f3002842aa40/status'}, 'meta': {}}, 'fleets': {'links': {'related': 'http://api.tag-ip.com/track/v3/trackables/3341422d-4b41-453e-aa75-f3002842aa40/fleets'}, 'meta': {}}, 'organizations': {'links': {'related': 'http://api.tag-ip.com/track/v3/trackables/3341422d-4b41-453e-aa75-f3002842aa40/organizations'}, 'meta': {}}}",LIVRAISON,PUB.OTC.LIVRAISON
"{'label': 'OTC0021', 'name': '3149TBL - camion 7t5. JMC', 'description': 'OCEAN TRADE -  3149TBL - camion 7t5. JMC   - OTC', 'trackable_serial_id': 11384, 'custom_label': None, 'license_plate': '3149TBL'}",8005adaf-e887-4c99-9e77-dfecad545963,{'self': 'http://api.tag-ip.com/track/v3/trackables/8005adaf-e887-4c99-9e77-dfecad545963'},{},trackables,"{'status': {'links': {'related': 'http://api.tag-ip.com/track/v3/trackables/8005adaf-e887-4c99-9e77-dfecad545963/status'}, 'meta': {}}, 'fleets': {'links': {'related': 'http://api.tag-ip.com/track/v3/trackables/8005adaf-e887-4c99-9e77-dfecad545963/fleets'}, 'meta': {}}, 'organizations': {'links': {'related': 'http://api.tag-ip.com/track/v3/trackables/8005adaf-e887-4c99-9e77-dfecad545963/organizations'}, 'meta': {}}}",LIVRAISON,PUB.OTC.LIVRAISON
"{'label': 'OTC0130', 'name': 'ISUZU REWARD 6T - 21781WWT', 'description': 'OCEAN TRADE -  ISUZU REWARD 6T - 21781WWT-OTC', 'trackable_serial_id': 11493, 'custom_label': None, 'license_plate': '21781WWT'}",8787f5b0-bac1-4c7f-97b3-877ab20fccd0,{'self': 'http://api.tag-ip.com/track/v3/trackables/8787f5b0-bac1-4c7f-97b3-877ab20fccd0'},{},trackables,"{'status': {'links': {'related': 'http://api.tag-ip.com/track/v3/trackables/8787f5b0-bac1-4c7f-97b3-877ab20fccd0/status'}, 'meta': {}}, 'fleets': {'links': {'related': 'http://api.tag-ip.com/track/v3/trackables/8787f5b0-bac1-4c7f-97b3-877ab20fccd0/fleets'}, 'meta': {}}, 'organizations': {'links': {'related': 'http://api.tag-ip.com/track/v3/trackables/8787f5b0-bac1-4c7f-97b3-877ab20fccd0/organizations'}, 'meta': {}}}",LIVRAISON,PUB.OTC.LIVRAISON
